Date,Open,High,Low,Close,Volume,AdjustedClose,Dividends,StockSplits
2019-01-01,45.016425,45.608102,44.802957,45.392850,5714388,45.392850,0.000000,0.000000
2019-01-02,45.372196,46.016642,45.210852,45.853587,4624092,45.853587,0.000000,0.000000
2019-01-03,45.852853,45.975188,44.996897,45.117270,3794076,45.117270,0.000000,0.000000
2019-01-04,45.136941,45.280657,44.330043,44.471641,7276164,44.471641,0.000000,0.000000
2019-01-07,44.467060,44.839369,44.134357,44.506373,8949521,44.506373,0.000000,0.000000
2019-01-08,44.524932,44.798181,44.173522,44.446289,9762316,44.446289,0.000000,0.000000
2019-01-09,44.427577,45.118442,44.218234,44.906841,8964780,44.906841,0.000000,0.000000
2019-01-10,44.886992,45.615978,44.774056,45.501497,8327168,45.501497,0.000000,0.000000
2019-01-11,45.490121,46.047241,45.257620,45.813091,9313166,45.813091,0.000000,0.000000
2019-01-14,45.819046,46.434147,45.535746,46.148809,4301506,46.148809,0.000000,0.000000
2019-01-15,46.146455,47.304927,45.789235,46.941553,6718940,46.941553,0.000000,0.000000
2019-01-16,46.951316,48.015826,46.750176,47.811004,10415664,47.811004,0.000000,0.000000
2019-01-17,47.811960,48.176717,47.474598,47.839164,9296753,47.839164,0.000000,0.000000
2019-01-18,47.843565,48.006472,46.967468,47.127939,6431359,47.127939,0.000000,0.000000
2019-01-22,47.148109,47.956105,46.951077,47.756531,7947436,47.756531,0.000000,0.000000
2019-01-23,47.740484,48.092235,46.766309,47.113441,3342528,47.113441,0.000000,0.000000
2019-01-24,47.106373,47.454771,45.924248,46.266435,9115380,46.266435,0.000000,0.000000
2019-01-25,46.250288,46.443845,45.902663,46.095573,7524405,46.095573,0.000000,0.000000
2019-01-28,46.114011,46.337571,45.509803,45.731510,7227836,45.731510,0.000000,0.000000
2019-01-29,45.745092,46.063798,44.970531,45.286039,6601341,45.286039,0.000000,0.000000
2019-01-30,45.268920,46.029700,44.928090,45.685733,4798596,45.685733,0.000000,0.000000
2019-01-31,45.700443,46.032822,44.877702,45.206489,8814104,45.206489,0.000000,0.000000
2019-02-01,45.200386,45.381865,44.352986,44.531782,4543609,44.531782,0.000000,0.000000
2019-02-04,44.515305,45.030038,44.348105,44.861539,7604333,44.861539,0.000000,0.000000
2019-02-05,44.865083,45.740376,44.589970,45.461606,4358478,45.461606,0.000000,0.000000
2019-02-06,45.450104,45.909034,45.379201,45.837528,8218101,45.837528,0.000000,0.000000
2019-02-07,45.816076,47.103096,45.460359,46.740206,4093353,46.740206,0.000000,0.000000
